country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030
Afghanistan,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3,97.3
Albania,88.7,88.6,88.7,88.8,89,89.1,89.2,89.3,89.4,89.5,89.7,89.7,89.8,89.8,89.8,89.7,89.6,89.5,89.3,89.6,88.9,88.2,87.5,86.2,87.4,88.6,88.6,88.5,88.4,88.3,88.2,88.1,88,87.9,87.8,87.7,87.5,87.4,87.3,87.2,87.1
Algeria,95.1,95.1,95.1,95.2,95.3,95.3,95.2,95,94.8,94.5,94.2,93.9,93.6,93.3,92.9,92.5,92.2,91.8,91.4,91,91.8,91.4,90.9,92.1,88.7,88.7,88.7,88.7,88.6,88.6,88.5,88.5,88.4,88.4,88.3,88.2,88.1,88,87.9,87.8,87.7
Angola,95.5,95.5,95.7,96,96,95.9,95.8,95.8,95.7,95.7,95.7,95.6,95.8,95.7,95.6,95.4,95.2,95,94.9,94.9,94.9,94.9,94.8,94.8,94.8,94.7,94.8,94.7,94.7,94.6,94.6,94.5,94.5,94.4,94.4,94.3,94.3,94.2,94.2,94.1,94
Argentina,95.4,95.3,95.1,95.1,95,95,94.9,94.8,94.7,94.8,94.8,95,95.1,95,94.9,95.1,94.8,94.7,94.5,94.2,94,94.7,94.5,94.2,94.1,94.1,94.2,94.1,94.1,94,94,94,93.9,93.9,93.8,93.8,93.7,93.7,93.6,93.6,93.5
Armenia,88.2,88.2,88.3,88.3,88.3,88.3,88.3,88.3,88.3,88.2,88.2,88.1,88.1,88,88,88,88,88,88,87.9,91.5,89.5,88.8,87.7,87.9,85.8,85.8,85.9,86.1,86.2,86.3,86.5,86.6,86.7,86.8,86.9,86.9,87,87.1,87.1,87.2
Australia,93.3,93.1,92.5,92.3,91.6,91.7,91.6,91.1,90.8,90.4,90.2,90.1,90.2,89.8,89.9,90.3,90.3,90.8,90.9,90.4,90.6,90.6,90.1,90.1,89.9,90.3,90.2,90.2,90.2,90.2,90.2,90.2,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3,90.3
Austria,94.4,94.3,94.2,94.2,93.1,93.2,92.9,93.2,93.7,93.8,93.7,93.5,94,94.3,90.5,92,92.2,92.6,92.1,91.9,91.9,92,92.3,92.1,91.4,91.6,91.8,91.7,91.7,91.6,91.6,91.6,91.6,91.5,91.5,91.5,91.5,91.4,91.3,91.3,91.2
Azerbaijan,90.4,90.5,90.7,90.8,90.8,90.8,90.9,91,91,91,90.8,90.5,90.3,90,89.7,89.3,88.9,88.4,88.7,88.9,89.1,89.2,89.3,90.1,89.4,89.5,90.5,90.4,90.3,90.2,90.1,90.1,90.2,90.3,90.4,90.5,90.7,90.8,91,91.1,91.2
Bahamas,92.6,93.2,93.8,94.3,94.9,94.9,94.9,94.9,95,95,95,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95.1,95,95,95,95,95,95,95,95,95,95,95,95,95.1,95.1,95.1,95.2,95.2
